parent_station,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,stop_id,stop_desc,stop_name,location_type,platform_code,zone_id
,40.538962,,4190,-75.495288,,,397,,3rd at Seem WB,0,,
,40.536998,,4217,-75.492058,,,396,,3rd at Ridge EB,0,,
,40.536961,,4187,-75.491806,,,395,,3rd at Ridge WB,0,,
,40.694108,,4930,-75.209269,,,399,,3rd at Bushkill,0,,
,40.538812,,4220,-75.495242,,,398,,3rd at Seem EB,0,,
,40.590358,,4557,-75.455999,,,2308,,Susquehanna at 2nd EB,0,,
,40.767672,,5581,-75.272788,,,2305,,Sullivan Trail at Rt 191 SB,0,,
,40.767846,,5608,-75.272743,,,2304,,Sullivan Trail at Rt 191 NB,0,,
,40.590537,,4496,-75.455618,,,2307,,Susquehanna at 2nd WB,0,,
,40.627316,,4799,-75.442527,,,3203,,Airport at Congress SB,0,,
,40.808537,,5687,-75.288232,,,245,,Sullivan Trail at State Park SB,0,,
,40.610616,,4856,-75.487161,,,242,,Washington at 12th EB,0,,
,40.618014,,4816,-75.492825,,,249,,13th at Fairmont NB,0,,
,40.635826,,5110,-75.350488,,,2274,,Stefko at Bayard SB,0,,
,40.642013,,5095,-75.346479,,,2277,,Stefko at Glenmere,0,,
,40.633167,,5088,-75.352972,,,2276,,Stefko at Crawford,0,,
,40.547786,,1352,-75.489723,,,2271,,State at Harrison SB,0,,
,40.550542,,1354,-75.491204,,,2270,,Lehigh at Bevin NB,0,,
,40.635378,,5090,-75.350523,,,2273,,Stefko at Bayard NB,0,,
,40.548785,,1353,-75.490229,,,2272,,State at Harrison NB,0,,
,40.64364058,,5083,-75.34572699,,,2278,,Stefko at Glenwood SB,0,,
,40.593549,,4882,-75.493041,,,2458,,Union at 18th WB,0,,
,40.593944,,4830,-75.491172,,,2455,,Union at 17th EB,0,,
,40.594724,,4880,-75.488779,,,2454,,Union at 16th WB,0,,
,40.593382,,4831,-75.493208,,,2457,,Union at 18th EB,0,,
,40.594138,,4881,-75.490925,,,2456,,Union at 17th WB,0,,
,40.625364,,4619,-75.404654,,,2451,,Union at 15th EB - Bethlehem,0,,
,40.625532,,4667,-75.40428,,,2450,,Union at 15th WB - Bethlehem,0,,
,40.594535,,4829,-75.489031,,,2453,,Union at 16th EB,0,,
,40.579445,,4227,-75.480688,,,179,,Jefferson at Lehigh NB,0,,
,40.654391,,4262,-75.475422,,,178,,Pine at Front NB,0,,
,40.617108,,1108,-75.441631,,,177,,Hanover at Irving WB,0,,
,40.607272,,4126,-75.487643,,,176,,Allen at 13th WB,0,,
,40.588427,,4231,-75.479258,,,175,,Jefferson at Wyoming NB,0,,
,40.610407,,4578,-75.378173,,,174,,4th at New EB,0,,
,40.591732,,4564,-75.438977,,,173,,Susquehanna at Gilmore EB,0,,
,40.689118,,1581,-75.242827,,,171,,Northampton at 21st EB,0,,
,40.67835,,5252,-75.220764,,,170,,Berwick at Centre EB,0,,
,40.623329,,1117,-75.421749,,,1502,,Hanover at Wahneta EB,0,,
,40.561704,,5888,-75.448187,,,2053,,Pike at Rock NB,0,,
,40.634991,,3143,-75.435474,,,3200,,Hoover at Lloyd SB,0,,
,40.562604,,5933,-75.448972,,,2054,,Pike at Rock SB,0,,
,40.64941,,4304,-75.480313,,,2057,,Pine at 2nd NB - Whitehall,0,,
,40.649312,,4259,-75.480461,,,2059,,Pine at 2nd SB - Whitehall,0,,
,40.655201,,4306,-75.474439,,,2058,,Pine at 2nd NB - Catasauqua,0,,
,40.622282,,1116,-75.424132,,,1500,,Hanover at Ulster EB,0,,
,40.622516,,1119,-75.423903,,,1501,,Hanover at Ulster WB,0,,
,40.770331,,6062,-75.59896,,,3089,,Rt 145 at Valley Dr NB,0,,
,40.614421,,3238,-75.493459,,,2968,,Highland at 14th,0,,
,40.606153,,4530,-75.388789,,,653,,Broadway at Fiot SB,0,,
,40.626246,,5115,-75.375115,,,1367,,Goepp at Center WB,0,,
,40.64379,,4297,-75.490034,,,2584_merged_671209,,Mickley at Hammond,0,,
,40.781661,,6060,-75.603548,,,3087,,Rt 145 at Rt 248 NB,0,,
,40.543711,,4194,-75.493165,,,1509,,Harrison at 1st NB,0,,
,40.610119,,7445,-75.381556,,,3225,,Brodhead at 4th SB,0,,
,40.593028,,6248,-75.485871,,,2698,,15th at Elm SB,0,,
,40.594113,,6245,-75.486389,,,2695,,15th at Fairview SB,0,,
,40.602117,,4533,-75.393998,,,659,,Broadway at Hoffert WB,0,,
,40.673691,,5624,-75.259017,,,1603,,Greenwood at Division SB,0,,
,40.605641,,6241,-75.530458,,,2691,,Cedar Crest at Oxford SB,0,,
,40.608791,,7446,-75.381287,,,3226,,Brodhead at Southside Commons,0,,
,40.605744,,7440,-75.383574,,,3221,,Summit at Carlton NB,0,,
,40.744998,,5606,-75.243748,,,1607,,Uhler at Sullivan Trail WB,0,,
,40.641425,,1420,-75.352724,,,1115,,Easton at Renwick EB,0,,
,40.57227,,7438,-75.390472,,,3232,,PA 378 at Oakhurst,0,,
,40.586382,,7436,-75.386762,,,3230,,PA 378 at Saucon Valley Square SB,0,,
